S6 Anteil;S4 Anteil;M100 Anteil;Penetration;Erweichungspunkt;;
1;0;0;198;39;61.776;45.8061318
1;0;0;185;40;59.2;47.36
1;0;0;186;39.4;58.6272;44.82268119
1;0;0;196;39.2;61.4656;46.2807448
1;0;0;198;39.2;62.0928;46.75299729
1;0;0;200;39.6;63.36;49.18251571
1;0;0;144;40.6;46.7712;39.12610593
1;0;0;208;39;64.896;48.1195728
0.903559572;0.096440428;0;188;39.6;59.5584;46.23156477
0.889416492;0.110583508;0;190;39.8;60.496;47.67447171
0.907312293;0.092687707;0;193;39.6;61.1424;47.46112766
0.908614963;0.091385037;0;210;39;65.52;48.582261
0.908576504;0.091423496;0;197;39.6;62.4096;48.44477798
0.904695727;0.095304273;0;192;40;61.44;49.152
0.908637113;0.091362887;0;185;40.6;60.088;50.26617776
0.908637113;0.091362887;0;181;40;57.92;46.336
0.906850312;0.093149688;0;192;39;59.904;44.4180672
0.906617591;0.093382409;0;195;39.4;61.464;46.99152061
0.90628823;0.09371177;0;192;39.6;60.8256;47.21521508
0.907136662;0.092863338;0;175;41;57.4;49.4508175
0.906916892;0.093083108;0;188;39.4;59.2576;45.30464551
0.906776979;0.093223021;0;188;39;58.656;43.4926908
0.904733671;0.095266329;0;189;39.2;59.2704;44.62786105
0.908663591;0.091336409;0;183;39.8;58.2672;45.91804381
1;0;0;85;46.4;31.552;39.39951247
1;0;0;83;47;31.208;40.5013523
1;0;0;91;46.2;33.6336;41.45809043
1;0;0;99;45.2;35.7984;41.32272317
1;0;0;119;43.4;41.3168;42.21879946
1;0;0;79;47.6;30.0832;40.55598018
1;0;0;88;46.6;32.8064;41.49792094
1;0;0;82;46.8;30.7008;39.33664031
1;0;0;96;45.4;34.8672;40.78445324
1;0;0;194;40;62.08;49.664
0.81795404;0.08349839;0.098547569;181;40.6;58.7888;49.17934148
0.814186711;0.085226338;0.100586951;189;40;60.48;48.384
0.815426532;0.084657674;0.099915794;193;39.6;61.1424;47.46112766
0.816417345;0.084203221;0.099379434;181;40.4;58.4992;48.21742741
0.816440869;0.084192431;0.0993667;182;40;58.24;46.592
0.816166046;0.084318483;0.09951547;188;39.8;59.8592;47.17263517
0.816342799;0.084237413;0.099419788;193;39.6;61.1424;47.46112766
0.81225091;0.086114225;0.101634865;187;39.8;59.5408;46.92171689
0.816520689;0.08415582;0.09932349;189;39.8;60.1776;47.42355344
0.820118074;0.082505821;0.097376106;185;40;59.2;47.36
0.818190585;0.083389895;0.09841952;178;40.2;57.2448;46.48621801
0.818069848;0.083445273;0.098484879;182;39.8;57.9488;45.66712553
0.818090643;0.083435735;0.098473622;177;40.4;57.2064;47.1518489
0.818132634;0.083416476;0.098450891;178;40;56.96;45.568
0.818220233;0.083376297;0.09840347;184;40.2;59.1744;48.05316918
0.818103502;0.083429837;0.098466661;212;39.8;67.5008;53.1946737
0.825263181;0.080145932;0.094590887;232;38.2;70.8992;49.40164796
0.825425388;0.080071533;0.094503079;167;41;54.776;47.1902087
0.405653286;0.489746597;0.104600118;13;70.8;7.3632;32.6645277
0.405653286;0.489746597;0.104600118;14;70.4;7.8848;34.38893072
0.400012625;0.494394547;0.105592827;13;70.2;7.3008;31.57125171
0.400012625;0.494394547;0.105592827;13;70.6;7.3424;32.29699799
0.399807429;0.494563631;0.10562894;15;70.4;8.448;36.84528292
0.395303807;0.498274653;0.106421541;15;70.6;8.472;37.26576691
0.40507968;0.490219252;0.104701068;17;69;9.384;38.5341057
0.404706178;0.490527021;0.104766801;16;69.8;8.9344;37.97883802
0.451451379;0.445670642;0.10287798;16;68.6;8.7808;35.43369523
0.492325402;0.507674598;0;15;70.2;8.424;36.42836736
0.492325402;0.507674598;0;14;70.6;7.9072;34.78138245
0.492325402;0.507674598;0;15;70;8.4;36.015
0.491287707;0.508712293;0;14;70.2;7.8624;33.99980954
0.492301047;0.507698953;0;14;71;7.952;35.5763534
0.492471483;0.507528517;0;14;70.8;7.9296;35.17718368
0.492009354;0.507990646;0;12;70.6;6.7776;29.81261353
0.492048965;0.507951035;0;11;72.4;6.3712;30.22365269
0.442929932;0.557070068;0;15;67.2;8.064;30.58921636
0.472664466;0.527335534;0;70;48.8;27.328;39.69879532
